Name,AddressLine1,AddressLine2,CityStateZipRaw,City,State,Zip,Phone,Email,Website,DateTimeScraped
TURNBULL WINE CELLARS,8210 ST HELENA HWY,,"OAKVILLE CA, 94562",OAKVILLE,CA,94562,(510) 964-7901,dleon@cqaconsult.net,,10/28/2016 10:10:03 AM
SONS OF BACCHUS LLC,3354A COFFEY LANE,,"SANTA ROSA CA, 95403-1917",SANTA ROSA,CA,95403,(831) 675-7500,info@pisonivineyards.com,www.pisonivineyards.com,10/28/2016 10:10:03 AM
THORNCREEK WINERY & GARDENS,155 TREAT RD,,"AURORA OH, 44202-8704",AURORA,OH,44202,(216) 409-0940,dthorn@dtrlandscapes.com,www.dtrlandscapes.com,10/28/2016 10:10:03 AM
MADRIGAL FAMILY WINERY LLC,3718 N ST HELENA HWY,,"CALISTOGA CA, 94515-9651",CALISTOGA,CA,94515,(707) 942-1065,mmccollum@madrigalfamilywinery.com,www.madrigalfamilywinery.com,10/28/2016 10:10:03 AM
ADELSHEIM VINEYARD LLC,16800 NE CALKINS LANE,,"NEWBERG OR, 97132",NEWBERG,OR,97132,(503) 538-3652,compliance@adelsheim.com,www.adelsheim.com,10/28/2016 10:10:03 AM
TALLEY VINEYARDS,3031 LOPEZ DR,,"ARROYO GRANDE CA, 93420",ARROYO GRANDE,CA,93420,(805) 489-0446,michele@talleyvineyards.com,www.talleyvineyards.com,10/28/2016 10:10:03 AM
ROEDERER ESTATE INC,4501 HIGHWAY 128,,"PHILO CA, 95466",PHILO,CA,95466,(707) 578-7807,paula@complianceservice.com,,10/28/2016 10:10:03 AM
OPUS ONE WINERY LLC,7900 ST HELENA HWY,,"OAKVILLE CA, 94562",OAKVILLE,CA,94562,(707) 578-7807,paula@complianceservice.com,,10/28/2016 10:10:03 AM
TERRA SPRINGS LLC,620 TRANCAS ST,,"NAPA CA, 94558-3083",NAPA,CA,94558,(707) 967-8340,tracy@terravalentine.com,www.terravalentine.com,10/28/2016 10:10:03 AM
POTT WINE,6126 SILVERADO TRAIL,,"NAPA CA, 94558",NAPA,CA,94558,(707) 967-9378,claire@pottwine.com,www.pottwine.com,10/28/2016 10:10:03 AM
TI BEVERAGE GROUP LTD,110 CAMINO ORUGA ST,,"NAPA CA, 94558-6214",NAPA,CA,94558,(505) 977-1010,grapevinecompliance@q.com,www.q.com,10/28/2016 10:10:03 AM
SILVER THREAD VINEYARD LLC,1401 CAYWOOD  RD,,"LODI NY, 14860",LODI,NY,14860,(607) 582-6116,info@silverthreadwine.com,www.silverthreadwine.com,10/28/2016 10:10:03 AM
WILLIAM COLE VINEYARDS LLC,2849 ST HELENA HWY,,"ST HELENA CA, 94574",ST HELENA,CA,94574,(707) 968-5003,tbcompliance@gmail.com,,10/28/2016 10:10:03 AM
STOLPMAN VINEYARDS LLC,1700 INDUSTRIAL WAY,,"BUELLTON CA, 93436",BUELLTON,CA,93436,(805) 686-8351,valallen@gmail.com,,10/28/2016 10:10:03 AM
ELK MOUNTAIN WINERY,24670 BENNETTS VALLEY HWY,RTE 255,"WEEDVILLE PA, 15868-2534",WEEDVILLE,PA,15868,(814) 834-9463,ELKMOUNTAINWINERY@GMAIL.COM,,10/28/2016 10:10:03 AM
BILLSBORO VINEYARDS AND WINERY LLC,4760 WEST LAKE RD,,"GENEVA NY, 14456",GENEVA,NY,14456,(315) 789-9538,kim@billsborowinery.com,www.billsborowinery.com,10/28/2016 10:10:03 AM
DYER STRAITS WINE CO LLC,1510 DIAMOND MOUNTAIN RD,,"CALISTOGA CA, 94515-9669",CALISTOGA,CA,94515,(707) 265-0233,beth@thewacco.com,www.thewacco.com,10/28/2016 10:10:03 AM
BILTMORE ESTATE WINE COMPANY,WINERY ROAD BILTMORE ESTATE,,"ASHEVILLE NC, 28803",ASHEVILLE,NC,28803,(828) 225-6766,cbarnett@biltmore.com,www.biltmore.com,10/28/2016 10:10:03 AM
PATRICIA GREEN CELLARS,15225  NE NORTH VALLEY RD,,"NEWBERG OR, 97132",NEWBERG,OR,97132,(503) 554-0821,pg@winecompliancespecialists.com,www.winecompliancespecialists.com,10/28/2016 10:10:03 AM
MATTHEW RORICK WINES INC,2787 INDIANA ST,,"NAPA CA, 94558",NAPA,CA,94558,(707) 258-5528,office@matthewrorick.com,www.matthewrorick.com,10/28/2016 10:10:03 AM
THE GAINEY VINEYARD,3950 EAST HWY 246,,"SANTA YNEZ CA, 93460",SANTA YNEZ,CA,93460,(805) 688-0558,juli@gaineyvineyard.com,www.gaineyvineyard.com,10/28/2016 10:10:03 AM
KEUKA SPRING VINEYARDS LLC,243 RT 54 EAST LAKE RD,,"PENN YAN NY, 14527-9434",PENN YAN,NY,14527,(315) 536-3147,uncork@keukaspringwinery.com,www.keukaspringwinery.com,10/28/2016 10:10:03 AM
CARNEROS WINE COMPANY INC,1134 DEALY LN,,"NAPA CA, 94559-9706",NAPA,CA,94559,(707) 253-9464,ddrews@mahoneyvineyards.com,www.mahoneyvineyards.com,10/28/2016 10:10:03 AM
CADUCEUS CELLARS LLC,4626 OLD HWY,,"CAMP VERDE AZ, 86322",CAMP VERDE,AZ,86322,(925) 383-4548,cadcompliance@gmail.com,,10/28/2016 10:10:03 AM
CREW WINE COMPANY LLC,12300 COUNTY RD 92B,PO BOX 493,"ZAMORA CA, 95698-0493",ZAMORA,CA,95698,(530) 662-1032,lgiguiere@matchbookwines.com,www.matchbookwines.com,10/28/2016 10:10:03 AM
RUBIN WINES LLC,5220 ROSS RD,,"SEBASTOPOL CA, 95472-2158",SEBASTOPOL,CA,95472,(505) 977-1010,grapevinecompliance@q.com,www.q.com,10/28/2016 10:10:03 AM
CHAIM LLC,1102 6TH ST,,"BERKELEY CA, 94710",BERKELEY,CA,94710,(707) 528-8500,chaim@dhwinecompliance.com,,10/28/2016 10:10:03 AM
BRASSFIELD ESTATE WINERY LLC,10915 HIGH VALLEY RD,,"CLEARLAKE OAKS CA, 95423-8526",CLEARLAKE OAKS,CA,95423,(707) 528-8500,brassfield@dhwinecompliance.com,,10/28/2016 10:10:03 AM
QUPE WINE CELLARS LLC,4665 SANTA MARIA MESA RD,,"SANTA MARIA CA, 93454",SANTA MARIA,CA,93454,(805) 239-4502,TS_Qupe@compli-beverage.com,,10/28/2016 10:10:03 AM
TWOMEY CELLARS LLC,1183 DUNAWEAL LN,,"CALISTOGA CA, 94515",CALISTOGA,CA,94515,(707) 578-7807,paula@complianceservice.com,,10/28/2016 10:10:04 AM
DUNN VINEYARDS LLC,805 WHITE COTTAGE RD N,,"ANGWIN CA, 94508",ANGWIN,CA,94508,(707) 965-3642,dunnvineyards@sbcglobal.net,www.sbcglobal.net,10/28/2016 10:10:04 AM
CARLISLE WINERY AND VINEYARDS LLC,6301 STARR RD,,"WINDSOR CA, 95492",WINDSOR,CA,95492,(707) 431-7425,gloriafrench@comcast.net,,10/28/2016 10:10:04 AM
VIADER VINEYARDS & WINERY,1120 DEER PARK RD,,"DEER PARK CA, 94576",DEER PARK,CA,94576,(707) 963-3816,janet@viader.com,www.viader.com,10/28/2016 10:10:04 AM
GROTH VINEYARDS AND WINERY LLC,750 OAKVILLE CROSS RD,,"OAKVILLE CA, 94562",OAKVILLE,CA,94562,(707) 944-0290,gnewman@grothwines.com,www.grothwines.com,10/28/2016 10:10:04 AM
VENGE VINEYARDS INC,4708 SILVERADO TRAIL,,"CALISTOGA CA, 94574",CALISTOGA,CA,94574,(707) 942-9100,kirk@vengevineyards.com,www.vengevineyards.com,10/28/2016 10:10:04 AM
PHILIP TOGNI VINEYARD LP,3780 SPRING MOUNTAIN RD,,"ST HELENA CA, 94574",ST HELENA,CA,94574,(707) 963-3731,tognivyd@wildblue.net,www.wildblue.net,10/28/2016 10:10:04 AM
GEORGE HENDRY,3104 REDWOOD RD,,"NAPA CA, 94558-9706",NAPA,CA,94558,(707) 284-2828,licensing@compliance-connect.com,,10/28/2016 10:10:04 AM
ROMBAUER VINEYARDS,3522 SILVERADO TRAIL N,,"ST HELENA CA, 94574",ST HELENA,CA,94574,(707) 963-6609,nicolette@rombauer.com,www.rombauer.com,10/28/2016 10:10:04 AM
GLENORA WINE CELLARS INC,5435 STATE RT 14,,"DUNDEE NY, 14837-8804",DUNDEE,NY,14837,(607) 243-5511,,,10/28/2016 10:10:04 AM
COPPER CANE LLC,105 ZINFANDEL LN,,"SAINT HELENA CA, 94574-1631",SAINT HELENA,CA,94574,(800) 400-1353,coppercane@csa-compliance.com,,10/28/2016 10:10:04 AM
HEITZ WINE CELLARS,500 TAPLIN RD,,"ST HELENA CA, 94574",ST HELENA,CA,94574,(707) 963-3542,ptotten@heitzcellar.com,www.heitzcellar.com,10/28/2016 10:10:04 AM
KNAPP FARMS INC,2770 COUNTY RD 128,,"ROMULUS NY, 14541-9757",ROMULUS,NY,14541,(607) 243-5511,info@glenora.com,www.glenora.com,10/28/2016 10:10:04 AM
KEN WRIGHT CELLARS,236 N KUTCH ST,,"CARLTON OR, 97111",CARLTON,OR,97111,(503) 852-7070,amanda@kenwrightcellars.com,www.kenwrightcellars.com,10/28/2016 10:10:04 AM
GARGIULO VINEYARD,575 OAKVILLE CROSSROAD,,"OAKVILLE CA, 94558",OAKVILLE,CA,94558,(866) 661-4190,karyn@wineindustrycompliance.com,,10/28/2016 10:10:04 AM
MILLBROOK WINERY INC,26 WING  RD,,"MILLBROOK NY, 12545",MILLBROOK,NY,12545,(845) 677-8383,sales@millwine.com,www.millwine.com,10/28/2016 10:10:04 AM
RASA VINEYARDS LLC,4122 POWERLINE RD,PO BOX 3266,"WALLA WALLA WA, 99362-3266",WALLA WALLA,WA,99362,(509) 876-2461,karla@wcsofww.com,www.wcsofww.com,10/28/2016 10:10:04 AM
LANGETWINS WINE COMPANY INC,1525 E JAHANT RD,,"ACAMPO CA, 95220",ACAMPO,CA,95220,(505) 977-1010,grapevinecompliance@q.com,www.q.com,10/28/2016 10:10:04 AM
VERMEIL WINE GROUP LLC,1251 TUBBS LANE,,"CALISTOGA CA, 94515",CALISTOGA,CA,94515,(707) 284-2828,licensing@compliance-connect.com,,10/28/2016 10:10:04 AM
LIEB CELLARS LLC,35 COX NECK RD,,"MATTITUCK NY, 11952",MATTITUCK,NY,11952,,ami@liebcellars.com,www.liebcellars.com,10/28/2016 10:10:04 AM
LAMBERT BRIDGE WINERY INC,4085 W DRY CREEK RD,,"HEALDSBURG CA, 95448-9117",HEALDSBURG,CA,95448,(707) 431-4668,mariko@lambertbridge.com,www.lambertbridge.com,10/28/2016 10:10:04 AM
OLIVEROS VINEYARD LLC,1271 TROYER RD,,"MCALISTERVILLE PA, 17049-8080",MCALISTERVILLE,PA,17049,,mbyurkovic@verizon.net,,10/28/2016 10:10:04 AM
MEREDITH VINEYARD ESTATE INC,2959 GRAVENSTEIN HWY N,,"SEBASTOPOL CA, 95472-6401",SEBASTOPOL,CA,95472,(707) 823-7466,marcia@merryedwards.com,www.merryedwards.com,10/28/2016 10:10:04 AM
HIGHGATE WINE CO,601 MUND RD,,"ST HELENA CA, 94574",ST HELENA,CA,94574,(707) 963-3429,info@arnswinery.com,www.arnswinery.com,10/28/2016 10:10:04 AM
WESTON WINERIES LLC,1 STEVENSON RD,,"LARAMIE WY, 82070-6894",LARAMIE,WY,82070,(307) 274-0333,jessica@westonventuresinc.com,www.westonventuresinc.com,10/28/2016 10:10:04 AM
PINNACLE RIDGE LLC,407 OLD RT 22,,"KUTZTOWN PA, 19530",KUTZTOWN,PA,19530,(610) 756-4481,PINRIDGE@AOL.COM,,10/28/2016 10:10:04 AM
KERWIN ESTATE LLC,2155 PICKETT RD,,"CALISTOGA CA, 94515-1804",CALISTOGA,CA,94515,(707) 709-2375,compliance@eiselevineyard.com,www.eiselevineyard.com,10/28/2016 10:10:04 AM
RUTHERFORD HILL WINERY,200 RUTHERFORD HILL RD,,"RUTHERFORD CA, 94573",RUTHERFORD,CA,94573,(847) 444-5594,compliance@twg.com,www.twg.com,10/28/2016 10:10:04 AM
SANFORD WINERY COMPANY LP,5010 SANTA ROSA RD,,"LOMPOC CA, 93436",LOMPOC,CA,93436,(847) 444-5594,compliance@twg.com,www.twg.com,10/28/2016 10:10:04 AM
CHIMNEY ROCK WINERY LLC,5350 SILVERADO TRAIL,,"NAPA CA, 94558",NAPA,CA,94558,(847) 444-5594,compliance@twg.com,www.twg.com,10/28/2016 10:10:04 AM
DAVID CASTRUCCI,110 CAMINO ORUGA,,"NAPA CA, 94558",NAPA,CA,94558,(707) 252-4725,jw1@winecompliance.com,,10/28/2016 10:10:05 AM
MAYACAMAS VINEYARDS,1155 LOKOYA RD,,"NAPA  CA, 64558-9566","NAPA ",CA,64558,(805) 239-4502,TS_Mayacamas@compli-beverage.com,,10/28/2016 10:10:05 AM
LAETITIA VINEYARD AND WINERY,453 LAETITIA VINEYARD DR,,"ARROYO GRANDE CA, 93420",ARROYO GRANDE,CA,93420,(805) 474-6212,Ted@Laetitiawine.com,www.laetitiawine.com,10/28/2016 10:10:05 AM
RED MARE WINES LLC,7830-40 ST HELENA HWY,,"OAKVILLE CA, 94562",OAKVILLE,CA,94562,(707) 968-5003,redmare1867@gmail.com,,10/28/2016 10:10:05 AM
ADIRONDACK WINERY LLC,395 BIG BAY RD,,"QUEENSBURY NY, 12804-7854",QUEENSBURY,NY,12804,(518) 668-9463,mike@adirondackwinery.com,www.adirondackwinery.com,10/28/2016 10:10:05 AM
KEUKA LAKE VINEYARDS LTD,8882 COUNTY ROUTE 76,,"HAMMONDSPORT NY, 14840-9607",HAMMONDSPORT,NY,14840,(607) 868-4100,info@klvineyards.com,www.klvineyards.com,10/28/2016 10:10:05 AM
BRONCO WINE COMPANY,6342 BYSTRUM RD,,"CERES CA, 95307-6652",CERES,CA,95307,(209) 272-3146,warren.stefl@broncowine.com,www.broncowine.com,10/28/2016 10:10:05 AM
HAMMLER WINE CORP,20300 CACHAGUA RD,,"CARMEL VALLEY CA, 93924",CARMEL VALLEY,CA,93924,(831) 659-2899,hhuebner@joullian.com,www.joullian.com,10/28/2016 10:10:05 AM
LATITUDE BEVERAGE COMPANY,499 MOORE LANE,,"HEALDSBURG CA, 95448",HEALDSBURG,CA,95448,(707) 528-8500,latitude@dhwinecompliance.com,,10/28/2016 10:10:05 AM
A W DIRECT LLC,980 AIRWAY CRT,,"SANTA ROSA CA, 95403-2000",SANTA ROSA,CA,95403,(707) 200-2859,,,10/28/2016 10:10:05 AM
ABREU VINEYARDS INC,1451C YOUNTVILLE CROSS RD,,"YOUNTVILLE CA, 94599",YOUNTVILLE,CA,94599,(510) 964-7901,dleon@cqaconsult.net,,10/28/2016 10:10:05 AM
MOUNTAIN PEAK VINEYARDS LLC,3730 N SILVERADO TRAIL,,"ST HELENA CA, 94574",ST HELENA,CA,94574,(707) 528-8500,mtnpeak@dhwinecompliance.com,,10/28/2016 10:10:05 AM
ADAMVS LLC,555 COLLEGE AVE,,"ANGWIN CA, 94508-9728",ANGWIN,CA,94508,,faith@westarcompliance.com,,10/28/2016 10:10:05 AM
"HIWASSEE ACRES, LLC",251 PEACH TREE RD,,"ORRTANNA PA, 17353-9753",ORRTANNA,PA,17353,,KMB3552@AOL.COM,,10/28/2016 10:10:05 AM
REVANA FAMILY PARTNERS,12001 NE WORDEN HILL RD,,"NEWBERG OR, 97132",NEWBERG,OR,97132,(503) 318-9312,sampbooking@gmail.com,,10/28/2016 10:10:05 AM
A V V WINERY COMPANY LLC,8644 HIGHWAY 128,,"HEALDSBURG CA, 95448-9021",HEALDSBURG,CA,95448,(541) 535-7492,marypow@charter.net,,10/28/2016 10:10:05 AM
"ALLEGRO WINE COMPANY, LLC",3475 SECHRIST RD,,"BROGUE PA, 17309-9415",BROGUE,PA,17309,(717) 927-9148,INFO@ALLEGROWINES.COM,www.allegrowines.com,10/28/2016 10:10:05 AM
ALPHA & OMEGA WINERY LLC,1155 MEE LANE,,"RUTHERFORD CA, 94573",RUTHERFORD,CA,94573,(510) 964-7901,dleon@cqaconsult.net,,10/28/2016 10:10:05 AM
ALTAMURA WINERY INC,1700 WOODEN VALLEY RD,,"NAPA CA, 94558-9617",NAPA,CA,94558,(707) 253-2000,info@altamura.com,www.altamura.com,10/28/2016 10:10:05 AM
AMERICANA VINEYARDS & WINERY,4367 E COVERT RD,,"INTERLAKEN NY, 14847",INTERLAKEN,NY,14847,(607) 387-6801,wineinny@aol.com,,10/28/2016 10:10:05 AM
ANDERSON'S CONN VALLEY WINERY INC,680 ROSSI RD,,"ST HELENA CA, 94574",ST HELENA,CA,94574,(707) 578-7807,paula@complianceservice.com,,10/28/2016 10:10:05 AM
AWG LTD,4162 BIG RANCH RD,,"NAPA CA, 94558-1405",NAPA,CA,94558,(707) 287-3532,andretti6662@gmail.com,,10/28/2016 10:10:05 AM
ANDREW MURRAY LLC,5249 FOXEN CANYON RD,,"LOS OLIVOS CA, 93441",LOS OLIVOS,CA,93441,(805) 686-8351,valallen@gmail.com,,10/28/2016 10:10:05 AM
ANOMALY VINEYARDS LLC,455  BELLA VISTA CRT,,"ST HELENA CA, 94574",ST HELENA,CA,94574,(707) 967-8448,karyn@wineindustrycompliance.com,,10/28/2016 10:10:05 AM
PINE RIDGE WINERY LLC,18599 NE ARCHERY SUMMIT RD,,"DAYTON OR, 97114",DAYTON,OR,97114,(707) 260-0922,jeanette.wemette@crimsonwinegroup.com,www.crimsonwinegroup.com,10/28/2016 10:10:05 AM
ARISTA WINES LLC,7015 WESTSIDE RD,,"HEALDSBURG CA, 95448-8326",HEALDSBURG,CA,95448,(707) 473-0606,frances@aristawinery.com,www.aristawinery.com,10/28/2016 10:10:05 AM
ARMSTRONG VALLEY VINEYARD & WINERY,212 RUTTER RD,,"HALIFAX PA, 17032-9441",HALIFAX,PA,17032,(954) 290-1399,INFO@ARMSTRONGVALLEYWINERY.COM,www.armstrongvalleywinery.com,10/28/2016 10:10:05 AM
JACKSON FAMILY WINES INC,14347 SONOMA HWY,,"GLEN ELLEN CA, 95442",GLEN ELLEN,CA,95442,(707) 547-4798,Dezerlee.Reeves@jfwmail.com,,10/28/2016 10:10:05 AM
CODORNIU NAPA INC,1345 HENRY RD,,"NAPA CA, 94559",NAPA,CA,94559,(707) 578-7807,paula@complianceservice.com,,10/28/2016 10:10:05 AM
ATWATER ESTATE VINEYARDS LLC,5055 RTE 414,,"BURDETT NY, 14818",BURDETT,NY,14818,(607) 546-8463,denise@atwatervineyards.com,www.atwatervineyards.com,10/28/2016 10:10:05 AM
AUBERT WINEGROWING INCORPORATED,333 SILVERADO TRAIL,,"CALISTOGA CA, 94515",CALISTOGA,CA,94515,(510) 964-7901,dleon@cqaconsult.net,,10/28/2016 10:10:06 AM
AUTEUR WINES LLC,373 1ST ST W,,"SONOMA CA, 95476-5630",SONOMA,CA,95476,,LAURA@AUTEURWINES.COM,www.auteurwines.com,10/28/2016 10:10:06 AM
26 BRIX LLC,701 OAKVILLE CROSS RD,,"OAKVILLE CA, 94562",OAKVILLE,CA,94562,,coastalcompliance@comcast.net,,10/28/2016 10:10:06 AM
ARCHANGEL INVESTMENTS LLC,6236 SILVERADO TRAIL,,"NAPA CA, 94558",NAPA,CA,94558,(707) 944-9261,compliance@baldaccivineyards.com,www.baldaccivineyards.com,10/28/2016 10:10:06 AM
BARGETTOS SANTA CRUZ WINERY,3535 N MAIN ST,,"SOQUEL CA, 95073",SOQUEL,CA,95073,(831) 475-2258,cshields@bargetto.com,www.bargetto.com,10/28/2016 10:10:06 AM
BARNETT VINEYARDS LP,4070  SPRING MOUNTAIN  RD,,"ST HELENA CA, 94574",ST HELENA,CA,94574,(707) 963-7075,mfisher@barnettvineyards.com,www.barnettvineyards.com,10/28/2016 10:10:06 AM
BECKER FARMS INC,464 BECKER FARMS RD,,"STONEWALL TX, 78671",STONEWALL,TX,78671,(830) 644-2681,wineclub@beckerwines.com,www.beckerwines.com,10/28/2016 10:10:06 AM
THOMAS BECKMEN,2670 ONTIVEROS RD,P O BOX 542,"LOS OLIVOS CA, 93441",LOS OLIVOS,CA,93441,(607) 546-8463,DENISE@ATWATERVINEYARDS.COM,www.atwatervineyards.com,10/28/2016 10:10:06 AM
BEDELL NORTH FORK LLC,36225 MAIN RD,,"CUTCHOGUE NY, 11935",CUTCHOGUE,NY,11935,,Trent@bedellcellars.com,www.bedellcellars.com,10/28/2016 10:10:06 AM
BEE KIND WINERY LLC,14325 CLEARFIELD SHAWVILLE HIGHWAY,,"CLEARFIELD, PA, 16830",CLEARFI,LD,"PA, 16830",(814) 762-8210,INFO@BEEKINDWINERY.COM,www.beekindwinery.com,10/28/2016 10:10:06 AM
FN CELLARS LLC,1315 BELLA OAKS LANE,,"NAPA CA, 94558",NAPA,CA,94558,(707) 967-9600,ssmith@fn-mail.com,,10/28/2016 10:10:06 AM
ADAMS WINERY LLC,9711 W DRY CREEK RD,,"HEALDSBURG CA, 95448",HEALDSBURG,CA,95448,(508) 648-2505,coastalcompliance@comcast.net,,10/28/2016 10:10:06 AM
BENNETT LANE WINERY LLC,3340 Hwy 128,,"Calistoga CA, 94515-9727",Calistoga,CA,94515,(707) 942-6684,compliance@bennettlane.com,www.bennettlane.com,10/28/2016 10:10:06 AM
BENOVIA WINERY LLC,3339 HARTMAN LANE,,"SANTA ROSA CA, 95401",SANTA ROSA,CA,95401,(510) 964-7901,dleon@cqaconsult.net,,10/28/2016 10:10:06 AM
BERGSTROM WINES LLC,18215 NE CALKINS LANE,,"NEWBERG OR, 97132",NEWBERG,OR,97132,(503) 554-0463,bergstrom@winecompliancespecialists.com,www.winecompliancespecialists.com,10/28/2016 10:10:06 AM
BERNARDUS LLC,5 W CARMEL VALLEY RD,,"CARMEL VALLEY CA, 93924",CARMEL VALLEY,CA,93924,,bernardus@compli-beverage.com,,10/28/2016 10:10:06 AM
"BLAIR VINEYARDS, LLC",99 DIETRICH VALLEY RD,,"KUTZTOWN PA, 19530-9173",KUTZTOWN,PA,19530,(610) 683-8463,MBLAIR@BLAIRVINEYARDS.COM,www.blairvineyards.com,10/28/2016 10:10:06 AM
BLANKIET ESTATE LLC,2358  CALIFORNIA DR,,"YOUNTVILLE CA, 94599",YOUNTVILLE,CA,94599,(707) 963-2001,Julie@Blankiet.com,www.blankiet.com,10/28/2016 10:10:06 AM
BAW INC,35 & 70 INDUSTRIAL WAY,,"BUELLTON CA, 93427",BUELLTON,CA,93427,(917) 605-0466,alexandra.guevara@blueapron.com,www.blueapron.com,10/28/2016 10:10:06 AM
BLUE MOUNTAIN VINEYARDS & CELLARS LTD,7627 GRAPE VINE DR,PO BOX 492,"NEW TRIPOLI PA, 18066-0492",NEW TRIPOLI,PA,18066,(610) 298-3068,BMVSALES@BMVC.COM,www.bmvc.com,10/28/2016 10:10:06 AM
BLUESTONE VINEYARD INC,4828 SPRING CREEK RD,,"BRIDGEWATER VA, 22812-3633",BRIDGEWATER,VA,22812,(540) 828-0099,terry@bluestonevineyard.com,www.bluestonevineyard.com,10/28/2016 10:10:06 AM
BONNY DOON WINERY INC,328 INGALLS ST,,"SANTA CRUZ CA, 95060",SANTA CRUZ,CA,95060,(831) 425-3625,katieo@bonnydoonvineyard.com,www.bonnydoonvineyard.com,10/28/2016 10:10:06 AM
BOUCHAINE VINEYARDS INC,1075 BUCHLI STATION RD,,"NAPA CA, 94559",NAPA,CA,94559,(800) 654-9463,faith@westarcompliance.com,,10/28/2016 10:10:06 AM
BOYDEN VALLEY WINERY LLC,64 VT ROUTE 104,,"CAMBRIDGE VT, 05444",CAMBRIDGE,VT,05444,,info@boydenvalley.com,www.boydenvalley.com,10/28/2016 10:10:06 AM
BOYDS CARDINAL HOLLOW WINERY CORP,1830 WEST POINT PK HWY,,"LANSDALE PA, 19446",LANSDALE,PA,19446,(215) 661-9580,cardinalwinery@aol.com,,10/28/2016 10:10:06 AM
VINTAGE WINE ESTATES INC,15000 SONOMA HWY,,"GLEN ELLEN CA, 95442",GLEN ELLEN,CA,95442,(707) 265-6331,lyz@vintnersaccounting.com,www.vintnersaccounting.com,10/28/2016 10:10:06 AM
BRAND NAPA VALLEY LLC,90 LONG RANCH RD,,"ST HELENA CA, 94574-9558",ST HELENA,CA,94574,(866) 661-4190,melissa@wineindustrycompliance.com,,10/28/2016 10:10:06 AM
BRESSLER VINEYARDS LLC,5055 SOLANO AVE,,"NAPA CA, 94558-1326",NAPA,CA,94558,(866) 661-4190,karyn@wineindustrycompliance.com,,10/28/2016 10:10:06 AM
BRIAR VALLEY VINEYARDS AND WINERY INC,107 E PITT ST,PO BOX 514,"BEDFORD PA, 15522",BEDFORD,PA,15522,(814) 623-0900,BRIARVALLEY@EMBARQMAIL.COM,,10/28/2016 10:10:06 AM
BRITT HILL LLC,829 NE 5TH ST,,"MCMINNVILLE OR, 97128",MCMINNVILLE,OR,97128,(503) 989-2507,ellen@brittanvineyards.com,www.brittanvineyards.com,10/28/2016 10:10:06 AM
CONTINENTAL VINEYARDS LLC,5625 EAST HWY 46,,"PASO ROBLES CA, 93446-6301",PASO ROBLES,CA,93446,(805) 239-2562,Continental@compli-beverage.com,,10/28/2016 10:10:07 AM
THE MORNE WINE COMPANY,21101 SE CHERRY BLOSSOM LN,,"AMITY OR, 97101-2403",AMITY,OR,97101,(805) 239-4502,Brooks.Wines@Compli-Beverage.com,,10/28/2016 10:10:07 AM
BROWN ESTATE VINEYARDS LLC,3233 SAGE CANYON RD,,"ST HELENA CA, 94574",ST HELENA,CA,94574,(866) 661-4190,melissa@wineindustrycompliance.com,,10/28/2016 10:10:07 AM
BRUTOCAO CELLARS LP,1400 HIGHWAY 175,,"HOPLAND  CA, 95449-9754","HOPLAND ",CA,95449,(707) 528-8500,BRUTOCAO@DHWINECOMPLIANCE.COM,,10/28/2016 10:10:07 AM
BRYANT VINEYARDS LTD,1567 SAGE CANYON RD,,"ST HELENA CA, 94574",ST HELENA,CA,94574,(866) 661-4190,karyn@wineindustrycompliance.com,,10/28/2016 10:10:07 AM
WILLIAM LEE WARNER,111 BARNETT DR,,"DUNCANNON PA, 17020-9022",DUNCANNON,PA,17020,(717) 834-5606,CONTACTUS@BUDDYBOYWINERY.COM,www.buddyboywinery.com,10/28/2016 10:10:07 AM
BULLY HILL VINEYARDS INC,PO Box 458,,"HAMMONDSPORT NY, 14840",HAMMONDSPORT,NY,14840,(607) 868-3610,mainoffice@bullyhill.com,www.bullyhill.com,10/28/2016 10:10:07 AM
ROBIN'S VINES LLC,5986 STATE ROUTE 89,,"ROMULUS NY, 14541",ROMULUS,NY,14541,(607) 869-9760,marcia@buttonwoodgrove.com,www.buttonwoodgrove.com,10/28/2016 10:10:07 AM
JACKSON FAMILY WINES INC,5250 TEPUSQUET CANYON RD,,"SANTA MARIA CA, 93454",SANTA MARIA,CA,93454,(707) 547-4798,Dezerlee.Reeves@jfwmail.com,,10/28/2016 10:10:07 AM
CAIN CELLARS INC,3800 LANGTRY RD,,"ST HELENA CA, 94574",ST HELENA,CA,94574,(707) 252-4725,jw1@winecompliance.com,,10/28/2016 10:10:07 AM
CALERA WINE COMPANY LP,11300 CIENEGA RD,,"HOLLISTER CA, 95023-9159",HOLLISTER,CA,95023,(831) 637-9170,lindsay@calerawine.com,www.calerawine.com,10/28/2016 10:10:07 AM
CALLAWAY TEMECULA LP,32720 RANCHO CALIFORNIA RD,,"TEMECULA CA, 92591",TEMECULA,CA,92591,(951) 676-4001,regina_smith@callawaywinery.com,www.callawaywinery.com,10/28/2016 10:10:07 AM
JACKSON FAMILY WINES INC,5475 CHARDONNAY LANE,,"SANTA MARIA CA, 93454",SANTA MARIA,CA,93454,(707) 547-4798,Dezerlee.Reeves@jfwmail.com,,10/28/2016 10:10:07 AM
